"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"792784357","792781530","10001132","","","2008-04-20 02:41:01 +0000","web","@smartinson Can't say as I have but why not? I mean there are lots of reasons why not but as also many reasons to do it as well."
"792782848","","","","","2008-04-20 02:36:50 +0000","<a href=""http://twittergram.com/about"" rel=""nofollow"">TwitterGram</a>","Feel like a little name that tune? Try this one.. http://tinyurl.com/3hsgyv"
"792779425","792778894","10001132","","","2008-04-20 02:26:56 +0000","web","@smartinson key words ""sharing connections"". That's a good thing. Shouldn't matter where it happens. The space is inconsequential."
"792730282","","","","","2008-04-20 00:08:33 +0000","web","Heading out to dinner with friends"
"792729878","","","","","2008-04-20 00:07:26 +0000","web","TwitterGram: Flickr-to-Twitter setup http://tinyurl.com/2zrhlc via www.diigo.com/~shareski"
"792720032","","","","","2008-04-19 23:39:47 +0000","web","Barbie will have to look elsewhere for a Saturday night date.  http://flickr.com/photos/shareski/2425804643/"
"792710245","792708773","9081902","","","2008-04-19 23:12:27 +0000","web","@Holtsman ask for a discount."
"792707066","792560934","7612982","","","2008-04-19 23:03:43 +0000","web","@dlaufenberg Happy Birthday"
"792699892","","","","","2008-04-19 22:43:41 +0000","web","Craving candy...ate a couple of these http://flickr.com/photos/shareski/2370573884/"
"792690244","792644290","7770062","","","2008-04-19 22:16:46 +0000","web","@briancsmith My country? I'll call the border crossing."
"792333184","","","","","2008-04-19 05:42:51 +0000","web","WP issues solved. Not sure if it was my hosting service or something I did."
"792331390","792329552","673153","","","2008-04-19 05:35:24 +0000","web","@timlauer how was your pizza tonight?"
"792326704","792322376","9978622","","","2008-04-19 05:17:12 +0000","web","@skydaddy Favorite Franks tune, ""I bought a plastic star for your Aluminum tree"" http://tinyurl.com/5owzzv"
"792324309","","","","","2008-04-19 05:07:44 +0000","web","I don't know what I'm doing"
"792324160","","","","","2008-04-19 05:07:15 +0000","web","@dnorman do i need separate db for all my WP sites? I don't but it works, yet my new site won't work. Need to create a wp-config file and..."
"792308304","","","","","2008-04-19 04:10:20 +0000","web","@dnorman or @robwall do either of you have a minute to help a poor soul with MySql and WordPress issues?"
"792305245","","","","","2008-04-19 04:00:54 +0000","web","When does twitter take a nap?"
"792293784","","","","","2008-04-19 03:12:14 +0000","web","Had a good day of golf and a good day of taking pictures http://tinyurl.com/4jpol3"
"792290285","","","","","2008-04-19 03:03:25 +0000","web","Home from golf. A gorgeous evening....absolutely gorgeous. Hoping @dnorman keeps his lousy weather the heck away from here."
"792159684","","","","","2008-04-18 22:04:45 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","my wife has a very loud and annoying ringtone and it just went off in the bank. It might jeopardize our chances."
"792140021","","","","","2008-04-18 21:26:45 +0000","web","Twitterpoll: What makes you ""unfollow"" someone?"
"792139053","","","","","2008-04-18 21:25:03 +0000","web","Just realized 2 minutes ago, it's Friday. That's alright."
"792130920","","","","","2008-04-18 21:09:53 +0000","web","Free for educators for full length movies Animoto: Education http://tinyurl.com/4oqfvs via www.diigo.com/~shareski
endorsed by @joycevalenza"
"792122944","","","","","2008-04-18 20:55:55 +0000","web","Bank appt at 4, Tee Time at 4:45."
"792100938","","","","","2008-04-18 20:17:30 +0000","web","Gave a grade 8 class a midi Keystation and icontrol for GarageBand. I love playing Santa Claus"
"792020334","792018347","8870632","","","2008-04-18 17:59:17 +0000","web","@garystager cue the Schindler's list soundtrack"
"792017140","792016882","8870632","","","2008-04-18 17:53:46 +0000","web","@garystager what else is new?"
"792014816","792013467","8870632","","","2008-04-18 17:50:02 +0000","web","@garystager ask @kathycassidy"
"792011211","","","","","2008-04-18 17:44:11 +0000","web","Grade ones telling the world what they know about the XO  http://tinyurl.com/69e69k"
"791948610","","","","","2008-04-18 16:11:19 +0000","web","Great conversations about learning with some high school math teachers http://tinyurl.com/5tponm note:chat disabled for me"
"791923685","","","","","2008-04-18 15:37:10 +0000","web","@montgorp you can listen in http://tinyurl.com/5tponm  I have no chat as it's blocked. But eavesdrop if you like"
"791916452","","","","","2008-04-18 15:27:28 +0000","web","sitting with a group of math teachers discussing new practices....I am ustreaming for archiving purposes"
"791901603","791890216","7095342","","","2008-04-18 15:09:14 +0000","web","@wfryer installed it but it didn't seem to recognize the camera....Logitech says my camera isn't compatible. should this make it work?"
"791887852","791821554","11767382","","","2008-04-18 14:50:34 +0000","web","@cgseibel yes"
"791887631","","","","","2008-04-18 14:50:15 +0000","web","Can I use a Logitech webcam with my Mac? I plug it in but it doesn't seem to see it?"
"791622472","","","","","2008-04-18 05:21:43 +0000","web","@JLWagner just 2 but the one is shedding so badly it's more like 1 and 1/2."
"791606759","791604742","790852","","","2008-04-18 04:43:54 +0000","web","@kwhobbes thanks for the forecast update. Might have to try to get a tee time for tomorrow after work. The weekend could be iffy."
"791601515","","","","","2008-04-18 04:31:09 +0000","web","@injenuity yep..in a hurry and showed up at a BBQ looking like a dork. Nothing unusual."
"791600350","","","","","2008-04-18 04:28:27 +0000","web","@injenuity I buy my own but need help dressing http://www.flickr.com/photos/shareski/1347797445/"
"791595115","","","","","2008-04-18 04:15:37 +0000","web","Got my tickets to James Taylor in July...Sweet Baby James."
"791592987","","","","","2008-04-18 04:10:50 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: Google Earth 4.3... Back to the Wow Factor http://tinyurl.com/62qv8n"
"791580044","791578222","739293","","","2008-04-18 03:43:29 +0000","web","@courosa are you sick of cyberbullying presentations yet?"
"791579645","","","","","2008-04-18 03:42:30 +0000","web","trying to install Wordpress on a new site. Having some issues with the DB."
"791573136","791567544","790852","","","2008-04-18 03:29:01 +0000","web","@kwhobbes if it's no big deal, that'd be swell."
"791565795","791564274","790852","","","2008-04-18 03:12:54 +0000","web","@kwhobbes still waiting on ""our guy"" to see if he's available. Will likely require a skim coat of plaster"
"791565341","","","","","2008-04-18 03:11:57 +0000","web","Friend is off to Boston tomorrow to cheer his brother-in-law in the Marathon. Also scooped Bruins tickets for Satuday."
"791562574","791561985","790852","","","2008-04-18 03:06:23 +0000","web","@kwhobbes yep"
"791523324","","","","","2008-04-18 01:51:31 +0000","web","wife gives me another job.....hasn't she learned anything?"
"791504546","791502242","6066612","","","2008-04-18 01:12:19 +0000","web","@KarenJan don't ruin it...I'm recording it."
"791501161","791499896","10073992","","","2008-04-18 01:05:09 +0000","web","@sjciske Snack? It's a beautiful meal....a bit greasy, but still."
"791500646","791500609","7640052","","","2008-04-18 01:04:03 +0000","web","@teryl_magee This explains a bit more if you're interested http://flickr.com/photos/shareski/2418274620/"
"791494695","","","","","2008-04-18 00:51:04 +0000","web","Wife's friend is over and just told me my household work should be more supervised. Nice."
"791492844","","","","","2008-04-18 00:46:48 +0000","web","My wife's still mad at my for my handiwork the other night http://flickr.com/photos/shareski/2418276530/ She just said so."
"791491867","","","","","2008-04-18 00:44:42 +0000","web","Ate this for suppper http://www.kfc.com/menu/bowls_potato.asp Is that bad? It tasted good."
"791491229","","","","","2008-04-18 00:43:22 +0000","web","@dnorman there you go again with your picture."
"791486449","","","","","2008-04-18 00:32:37 +0000","web","BTW, when you're reading Mister Park's blog http://misterpark.ca the commenter Riley, is his 12 year old son."
"791484931","","","","","2008-04-18 00:29:39 +0000","web","What would you ask a soldier in Afghanistan? http://misterpark.ca/?p=14"
"791474857","","","","","2008-04-18 00:08:19 +0000","web","took me 35 minutes to walk home. Started listening to Einstein. http://tinyurl.com/yvuuyt I feel smartr already. I mean smarter"
"791430398","791428957","12670462","","","2008-04-17 22:37:08 +0000","web","@beil not even close"
"791426903","","","","","2008-04-17 22:30:09 +0000","web","My wife has the car. I call for a ride. Daughter says she's painting. Wife says ""Do you want to walk or get a ride?"" I guess I'm walking."
"791423112","791420330","1024471","","","2008-04-17 22:22:26 +0000","web","@ddraper @teach42 vs @djakes in a cage match....winner becomes mayor of Chicago."
"791396921","791387966","14060901","","","2008-04-17 21:35:30 +0000","web","@swvalley For Chroma Key on the Windows side and cheap, Pinnacle, Vegas and all Adobe stuff, Mac side entry level is Final Cut Express"
"791384624","","","","","2008-04-17 21:13:57 +0000","web","@dnorman are you using some type of twitterrandomprofileimage script? One day your the Terminator, today your a small man in a big room."
"791383225","791379683","1024471","","","2008-04-17 21:11:32 +0000","web","@ddraper You won't believe this but I'm working on a preso right now and a slide with that quote is on my screen Cue the twilight zone music"
"791369254","791369025","1024471","","","2008-04-17 20:49:19 +0000","web","@ddraper that was easy."
"791367768","","","","","2008-04-17 20:46:53 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: Beatrice, you're way off! http://tinyurl.com/6zmmm6"
"790867058","790866121","6581222","","","2008-04-17 04:51:11 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@djakes bus number 38."
"790863933","","","","","2008-04-17 04:44:06 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Just added a session to EduBlogger Con http://tinyurl.com/47kf99"
"790863840","790857565","7893422","","","2008-04-17 04:43:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@ccassinelli good question. either or."
"790855835","790854574","7893422","","","2008-04-17 04:24:58 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@ccassinelli Depends what he needs to do. For light Windows work, VMware is great, no need to reboot. It runs like any app. I like it."
"790848285","790845237","739293","","","2008-04-17 04:07:27 +0000","web","@courosa thanks. hoping you won't want to crash and burn after your ""couros Cyberbullying tour"" I'd be sick of that after about 2 sessions."
"790847832","790845570","12201982","","","2008-04-17 04:06:23 +0000","web","@Mathman33 is the Woodlawn open?"
"790843761","790840607","14268570","","","2008-04-17 03:58:07 +0000","web","@abowllan actually doesn't work all that hard..school just comes very easy I'm thinking next year will be an awakening. but he'll handle it."
"790843053","790842327","739293","","","2008-04-17 03:56:33 +0000","web","@courosa yikes....I gave my students till the 23rd to submit projects...am I screwed?"
"790840332","790838975","739293","","","2008-04-17 03:50:57 +0000","web","@courosa when do marks have to be submitted?"
"790839519","790830165","11767382","","","2008-04-17 03:49:27 +0000","web","@cgseibel testing purpose. It's only money."
"790829916","","","","","2008-04-17 03:29:32 +0000","web","Email from the U of Saskatchewan, my son was granted a $3000 entrance scholarship to Engineering based on his marks. He's got like a 96 avg"
"790828112","","","","","2008-04-17 03:25:50 +0000","web","Me and the Air http://tinyurl.com/64zydm"
"790827528","790816857","6581222","","","2008-04-17 03:24:38 +0000","web","@djakes  too lazy to fish  http://youtube.com/watch?v=NtP71A-u0wc Ignore the images...just listen."
"790817721","","","","","2008-04-17 03:04:42 +0000","web","Why do I bother phoning my ISP for support?"
"790763977","","","","","2008-04-17 01:25:24 +0000","web","Watching this video http://tinyurl.com/6489x5 Did I hear ""Shareski"" at 5:09?"
"790756434","","","","","2008-04-17 01:12:18 +0000","web","I wish I still liked hockey."
"790703804","790701440","6581222","","","2008-04-16 23:39:31 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","@djakes can I skype in with my dogs?"
"790627824","","","","","2008-04-16 21:25:37 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","sitting in the IT office waiting for VM ware to get installed on my Mac."
"790416662","","","","","2008-04-16 16:20:18 +0000","web","Developing a Digital Storytelling Academy for our division."
"790095534","790094459","824214","","","2008-04-16 06:25:56 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@jutecht What happens in Shanghai, stays in Shanghai."
"790093845","","","","","2008-04-16 06:20:34 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Watching the Odd Couple...then I'll shut 'er down. Haven't seen this show since I was a kid."
"790093292","790092893","824214","","","2008-04-16 06:19:03 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@jutecht I noticed that video 2 weeks ago and have been keeping it quiet for a presentation I have in May.  Spoiler. ;)"
"790092612","790091354","5545092","","","2008-04-16 06:17:05 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@robwall I ""installed"" a light fixture. Is that something?"
"790089698","790089181","790852","","","2008-04-16 06:09:19 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes see and some think twitter is a waste of time. You might save my life....or at least my marriage."
"790087705","","","","","2008-04-16 06:04:02 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","I'm screwed. But it's her own fault...she knows I suck at stuff like that."
"790083808","790083396","790852","","","2008-04-16 05:53:53 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes But that can be done right? What are you doing this weekend? Moose Jaw is nice this time of year."
"790083267","","","","","2008-04-16 05:52:27 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@injenuity she's trying to neutralize for resale"
"790081878","790081796","790852","","","2008-04-16 05:48:57 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes That's not what I wanted to hear. There has to be another way?"
"790079246","790077291","790852","","","2008-04-16 05:41:54 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes Here's what I did http://flickr.com/photos/shareski/tags/wallpaper/ She's worried this can't be fixed easily"
"790078001","790076574","739293","","","2008-04-16 05:38:28 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@courosa might be waiting for June. Didn't see the need."
"790076232","","","","","2008-04-16 05:33:54 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@injenuity average age of quilter is 103. They don't do virtual."
"790076023","790074540","739293","","","2008-04-16 05:33:23 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@courosa no....@dnorman and others convinced me otherwise"
"790075029","790074175","790852","","","2008-04-16 05:30:43 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kwhobbes I'm trying....she's having a home tour on May 4th http://tinyurl.com/3ufg2u and it's hard to find someone this time of year."
"790074309","","","","","2008-04-16 05:28:41 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@injenuity that's the worst case and it would be a major deal because of many things, too many to chronicle."
"790073908","790073198","5817062","","","2008-04-16 05:27:30 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@mrmosesdotorg no....I usually send mine out about 1AM."
"790073741","790073002","739293","","","2008-04-16 05:26:59 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@courosa you figure it out first. I couldn't find the touchmod deal on ebay."
"790070311","790069035","5545092","","","2008-04-16 05:17:00 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@robwall Normally I'd say yes but she's quite worried about the potential mess I've made.  I'll have to fix it somehow."
"790067400","","","","","2008-04-16 05:09:36 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","my wife asked me to help her strip wallpaper.  I went too far. Now she thinks we're in big trouble...Wonder if she'll ask me to help again?"
"790065483","790050667","8476962","","","2008-04-16 05:05:01 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@nharm I'm not much for political correctness"
"790038513","790036174","8870632","","","2008-04-16 04:08:12 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@garystager How did I know as I wrote that tweet that you would respond? Lucky I guess."
"790034330","790027291","14070562","","","2008-04-16 03:59:38 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@kathycassidy Alan November considers Skype the most powerful educational software, certainly in terms of connecting."
"790022778","","","","","2008-04-16 03:34:47 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","just oooooo"
"790021059","790019551","4060901","","","2008-04-16 03:31:27 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@jimohagan ooooooo"
"790018536","","","","","2008-04-16 03:26:25 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","People are stupid. http://tinyurl.com/5fgvja"
"790013309","790012547","673153","","","2008-04-16 03:15:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@timlauer before I go downloading this....I need some more detail. Remember you've got 140 not 40."
"790009074","789981742","5926752","","","2008-04-16 03:06:46 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@glassbeed I made this for you http://tinyurl.com/6zeazu"
"789994954","789986252","4932131","","","2008-04-16 02:39:27 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@lnitsche bandwidth isn't really an issue, they've been monitoring updates for Skype and are now comfortable with the patches"
"789985844","","","","","2008-04-16 02:21:36 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","IT Manager says every teacher can now have Skype. Security issues have been resolved."
"789892520","","","","","2008-04-15 23:07:06 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","anyone point to using Teen Second Life with middle schoolers? Examples? @kjarett would likely know but wondering if others have ideas"
"789790308","789787851","772934","","","2008-04-15 19:58:42 +0000","web","@timwilson so are you saying not to get you tickets? And here I was going to fly you in from the Twin Cities. Your loss."
"789777768","","","","","2008-04-15 19:37:38 +0000","web","James Taylor coming to Saskatoon in July. Put me down for tickets."
"789775734","","","","","2008-04-15 19:34:06 +0000","web","I hope my cellphone is in the car cause I don't have it on me."
"789751562","","","","","2008-04-15 18:52:25 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","mister park,the teacher/soldier in Afghanistan http://misterpark.ca is willing to skype calls with your class Skype name:  mister.park"
"789743720","789731522","6229662","","","2008-04-15 18:39:00 +0000","web","@csessums Hello Chris from somewhere in Canada...do you remember where? http://flickr.com/photos/shareski/2215642606/"
"789743161","","","","","2008-04-15 18:37:58 +0000","web","Itouch to iphone using skype and some other stuff.. http://tinyurl.com/3mxbaz hmmm....can you say Jailbreak?"
"789731696","789726438","5926752","","","2008-04-15 18:18:05 +0000","web","@glassbeed you're a TEDtease."
"789731276","789726851","10099802","","","2008-04-15 18:17:22 +0000","web","@dmantz7 yep."
"789724803","789723652","5926752","","","2008-04-15 18:06:35 +0000","web","@glassbeed are you sharing that?"
"789722610","789718405","10099802","","","2008-04-15 18:03:08 +0000","web","@dmantz7 anytime"
"789716214","","","","","2008-04-15 17:52:06 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: My ECMP 355 Comprehensive Assessment http://tinyurl.com/5kn88w"
"789659874","","","","","2008-04-15 16:22:16 +0000","web","Education Bingo [Random!] http://tinyurl.com/6y34ku via www.diigo.com/~shareski Seems like a must have for conferences via @dgrice"
"789653219","","","","","2008-04-15 16:12:22 +0000","web","5 minute excerpt from my interview in Second Life with the Portuguese educators. http://tinyurl.com/4l6k58"
"789652563","789650937","1024471","","","2008-04-15 16:11:21 +0000","web","@ddraper love it on the touch...as you can see, I've now switched to the laptop. Like it better than pocketweets"
"789647598","789642757","1024471","","","2008-04-15 16:04:20 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","@ddraper scaredy cats"
"789647210","789643491","772934","","","2008-04-15 16:03:46 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","@timwilson I would but forgot my whoopie cushion at home."
"789635039","","","","","2008-04-15 15:46:53 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","The speaker is not very entertaining ... I'm losing focus. A good story, a joke, a sight gag, almost anything would help."
"789611893","","","","","2008-04-15 15:15:27 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","I think @dkuropatwa and @charbeck are in Winnipeg watching live as I watch the speaker via satellite from Regina"
"789602691","","","","","2008-04-15 15:02:30 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","just washed my car yesterday... Guess what the weather is today?"
"789599803","789498197","5779592","","","2008-04-15 14:58:36 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","@joevans good call"
"789355669","789354498","7570912","","","2008-04-15 06:10:34 +0000","web","@cburell if I could only write like you....I'm too dull to even complete that sentence."
"789344072","","","","","2008-04-15 05:32:16 +0000","web","trying to think of something, anything as my picture of the day."
"789327964","","","","","2008-04-15 03:54:41 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","15 year old daughter is making me watch The Bachelor with her. I told her she doesn't need to watch. Just find a guy like her father."
"789327493","","","","","2008-04-15 03:49:41 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","15 year old daughter is making me watch The Bachelor with her. I told her she doesn't need to watch. Just find a guy like her father."
"789325175","789319304","71123","","","2008-04-15 03:31:14 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","@ijohnpederson no. It's simply an attempt to justify my waste of bandwidth."
"789132362","","","","","2008-04-14 21:05:26 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","presenter just came in wearing bunny ears and fake nose and glasses. Should try that sometime."
"789103360","","","","","2008-04-14 20:16:12 +0000","<a href=""http://alexking.org/projects/wordpress"" rel=""nofollow"">Twitter Tools</a>","Hot off the press: Better to be entertaining and uninformed than informed and boring http://tinyurl.com/6kfjt7"
"789083080","","","","","2008-04-14 19:42:27 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","temps climbing into the 80's. I'm stuck in a stuffy hotel."
"789006931","","","","","2008-04-14 17:37:51 +0000","web","watching Linwood Barclay http://www.linwoodbarclay.com/about.html"
"788979526","788976525","6212782","","","2008-04-14 16:54:33 +0000","web","@LParisi click in a cell, you'll see a table icon, click on it and a drop down menu appears to do what you want."
"788978693","","","","","2008-04-14 16:53:13 +0000","web","students are covering this conference I'm attending as part of an ejournalism project http://literacyfair.edublogs.org/"
"788915549","","","","","2008-04-14 15:20:24 +0000","web","watching Adrienne Clarkson live via Satellite. She's in Vancouver and the rest of us are all over Canada http://tinyurl.com/66rfph"
"788913915","788913179","5936222","","","2008-04-14 15:18:12 +0000","web","@donnadesroches Congrats on you and Carlene on your award...much deserved"
"788906504","","","","","2008-04-14 15:08:12 +0000","<a href=""http://www.hahlo.com/"" rel=""nofollow"">Hahlo</a>","at a literacy forum in Regina."
"788565870","788564304","12162982","","","2008-04-14 02:15:53 +0000","web","@schwier my photos from the day http://tinyurl.com/5wbkp3"
"788550412","","","","","2008-04-14 01:42:13 +0000","web","Record breaking temperatures today...even warmer tomorrow, mid 80's."
"788153209","","","","","2008-04-13 06:40:35 +0000","web","Beware of the Me Monster http://tinyurl.com/63xt8z"
"788135998","","","","","2008-04-13 05:39:01 +0000","web","@injenuity I tried to get in....says meeting is not active"
"788123224","","","","","2008-04-13 04:56:00 +0000","web","Twitter Account and Followers For Sale http://tinyurl.com/3zs6kl via www.diigo.com/~shareski"
"788069674","788068758","7362932","","","2008-04-13 02:11:44 +0000","web","@Allanahk She's used to it. Does the same to me when she beats me in cards."
"788067232","788066192","71123","","","2008-04-13 02:04:45 +0000","web","@ijohnpederson say hello to my son....he's been there for most of the day"
"788065994","","","","","2008-04-13 02:00:53 +0000","web","Just noticed the city has posted a ""No Dogs"" Bylaw sign in the park I've been taking my dog to chase golf balls for 5 years. Stupid city."
"787985744","","","","","2008-04-12 22:04:15 +0000","web","@dnorman  I can't keep up with your weather changes....you probably never put the winter stuff away, just in case."
"787985449","787981394","12162982","","","2008-04-12 22:03:29 +0000","web","@schwier much appreciated for the comment and very much a Michael Scott moment...nice reference"
"787975789","787974995","3128251","","","2008-04-12 21:36:52 +0000","web","@speters I wish that had been the first comment. I think I missed the boat on that one."
"787967772","","","","","2008-04-12 21:14:50 +0000","web","@lizkolb or anyone who wants to respond to this comment on my blog http://tinyurl.com/6pdhy2 I did already but think it's inadequate."
"787963614","","","","","2008-04-12 21:03:40 +0000","web","Just beat my 9 year old in a game of 21. Was it bad that I yelled ""In your face!"" after I won?"
"787938856","","","","","2008-04-12 19:57:27 +0000","web","For new parents here's good shirt http://tinyurl.com/3f7eoy"
"787937672","787934795","5572682","","","2008-04-12 19:54:14 +0000","web","@cathyjo quit teasing me with your greenery updates."
"787937307","787929590","3954261","","","2008-04-12 19:53:17 +0000","web","@ijesspederson Isn't that a ""blue"" job? Where's @ijohnpederson?"
"787935603","","","","","2008-04-12 19:48:54 +0000","web","@injenuity I would never under estimate you. But hurry, the chips are almost gone."
"787932404","","","","","2008-04-12 19:40:21 +0000","web","@injenuity Here's one: ""How to eat chips, watch sports on TV and stay thin"". That should take up all your creative juices."
"787928029","","","","","2008-04-12 19:28:50 +0000","web","I got my ""honey do list"" almost completed, settling for Saturday at Augusta while the boss is out of the house. And you?"
"787638140","","","","","2008-04-12 04:35:55 +0000","web","just getting on a roll editing a video for our school division when I realized I need different footage. I guess it will have to wait."
"787617405","787616350","7095342","","","2008-04-12 03:38:16 +0000","web","@wfryer never seen it. There, I said it out loud."
"787614480","787614219","10073992","","","2008-04-12 03:30:18 +0000","web","@sjciske I felt good about being able to dress myself.  I once took off my shirt in SL and couldn't get it back luckily @teach42 gave me one"
"787613005","787610846","10134712","","","2008-04-12 03:26:27 +0000","web","@hockeymom1788 so are Dilly Bars a Canadian thing http://tinyurl.com/657ehf you have DQ's don't you?"
"787606476","","","","","2008-04-12 03:08:40 +0000","web","brought some dilly bars over to the neigbours, just because."
"787578168","","","","","2008-04-12 01:55:08 +0000","web","My second life experience http://tinyurl.com/4dg52o"
"787558229","787555356","6221802","","","2008-04-12 01:04:18 +0000","web","@kevinessdack check your DM"
"787558110","787555687","673153","","","2008-04-12 01:03:58 +0000","web","@timlauer figures"
"787552657","787551683","11767382","","","2008-04-12 00:49:45 +0000","web","@cgseibel thanks is there audio in SL?"
"787548204","787547805","7681062","","","2008-04-12 00:37:53 +0000","web","@fletcher3836 can you hear me in SL?"
"787548016","787547782","3642951","","","2008-04-12 00:37:25 +0000","web","@Durff not in the least"
"787547489","","","","","2008-04-12 00:36:04 +0000","web","speaking with a Portuguese translators."
"787545592","","","","","2008-04-12 00:31:27 +0000","web","Portuguese, Skype, SL.. too much"
"787542816","787541187","11767382","","","2008-04-12 00:24:23 +0000","web","@cgseibel I'll try...my SL skills are nil...about the same as my constructions skills"
"787537277","","","","","2008-04-12 00:10:10 +0000","web","I'm sitting on a chair in a lecture hall in SL feeling very weird. Invited to speak with a group of Portuguese educators."
"787536776","","","","","2008-04-12 00:08:52 +0000","web","Someone come join my in SL http://slurl.com/secondlife/Bradesco/67/179/65 I have no idea what I'm to be doing"
"787487065","","","","","2008-04-11 22:14:49 +0000","web","My 900th follower is golfshirts? The twitters are getting very strange and niche like."
"787484888","","","","","2008-04-11 22:10:12 +0000","web","Watching the Masters"
"787443573","","","","","2008-04-11 20:49:50 +0000","web","I'd give my left arm to be ambidextrous."
"787434068","787426043","4132841","","","2008-04-11 20:32:14 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@mcleod hello from Sunny, warm Saskatchewan. Is everyone all ""Zach Johnson"" over there?"
"787417563","","","","","2008-04-11 20:03:47 +0000","web","One of our principals is asking a question http://tinyurl.com/4de58k  Care to respond?"
"787371333","","","","","2008-04-11 18:45:12 +0000","web","Finally got domain name issues sorted out. CIRA is a wacky organization"
"787360489","787359782","778057","","","2008-04-11 18:26:10 +0000","web","@acarvin your first? really?"
"787347284","787344028","6212782","","","2008-04-11 18:04:20 +0000","web","@LParisi see you there."
